app,sample_count,failed_count,failure_rate,expected_failed_at_global_rate,lift_vs_global
DAE,13324,386,0.028970279195436807,65.26322676024027,5.9145098880578075
NAS,12977,259,0.019958387917084073,63.56356151813555,4.074661548442402
none,182794,1451,0.00793789730516319,895.3562197847014,1.620584040114123
DB,25393,118,0.004646949946835742,124.37924925868968,0.9487113059717716
RM,82952,370,0.004460410840003858,406.31305810683364,0.910627883149929
SS,15642,60,0.0038358266206367474,76.61718650432891,0.7831141123488001
WSM,329355,752,0.0022832505958616084,1613.2370196351649,0.46614353058304203
WPS,34781,52,0.0014950691469480463,170.3632760393213,0.30523010128073585
WS,8964,11,0.0012271307452030344,43.907202392584345,0.2505283734920408
