feature,coefficient,abs_coefficient
model_B3,6.62530286201897,6.62530286201897
model_B2,4.115927648811457,4.115927648811457
model_A1,-4.078451333820456,4.078451333820456
model_A4,-3.9662827131956093,3.9662827131956093
slot_id_grouped_11.0,3.84335185326273,3.84335185326273
model_B1,3.699521892426162,3.699521892426162
model_A5,-3.6403614435792124,3.6403614435792124
model_A2,-3.533519539193246,3.533519539193246
slot_id_grouped_rare_slot,3.1616018130649026,3.1616018130649026
model_A6,-2.5383257966502977,2.5383257966502977
r_9,2.434575523544439,2.434575523544439
model_C2,2.307564973053153,2.307564973053153
n_9,2.1713737326315807,2.1713737326315807
slot_id_grouped_22.0,1.7395343461714454,1.7395343461714454
model_C1,1.6340901038070599,1.6340901038070599
app_DAE,1.538290688335571,1.538290688335571
app_WPS,-1.3464858628855503,1.3464858628855503
app_NAS,1.3410308462021148,1.3410308462021148
slot_id_grouped_missing,-0.9877684219345574,0.9877684219345574
r_175,-0.9663716284724964,0.9663716284724964
app_WSM,-0.9125239059993552,0.9125239059993552
slot_id_grouped_16.0,-0.8798030859711448,0.8798030859711448
slot_id_grouped_26.0,-0.8692638801652054,0.8692638801652054
slot_id_grouped_25.0,-0.8628199634345428,0.8628199634345428
slot_id_grouped_14.0,-0.7911221137495322,0.7911221137495322
slot_id_grouped_0.0,-0.746322141074138,0.746322141074138
slot_id_grouped_8.0,-0.7285201574038407,0.7285201574038407
slot_id_grouped_27.0,-0.6848645451784918,0.6848645451784918
slot_id_grouped_24.0,-0.6603490757277205,0.6603490757277205
app_WS,-0.6424731877404526,0.6424731877404526
app_SS,-0.6316520230380125,0.6316520230380125
slot_id_grouped_13.0,-0.5448104783711254,0.5448104783711254
slot_id_grouped_19.0,-0.5139068417261026,0.5139068417261026
model_A3,-0.5020673868474069,0.5020673868474069
slot_id_grouped_6.0,-0.4375176936387164,0.4375176936387164
app_none,0.40394698706480847,0.40394698706480847
app_DB,0.40019092532219935,0.40019092532219935
n_12,0.2712077214487134,0.2712077214487134
n_5,-0.2437766910231767,0.2437766910231767
n_175,-0.1497230578587614,0.1497230578587614
slot_id_grouped_2.0,0.08010322459527454,0.08010322459527454
r_5,0.07204158980195427,0.07204158980195427
r_12,0.04499437623889417,0.04499437623889417
app_RM,-0.026925200429836517,0.026925200429836517
slot_id_grouped_12.0,0.005876428110457576,0.005876428110457576
