model,disk_count,failed_disks,failure_rate,r_5_median,r_9_median,r_12_median,r_175_median
A3,16774,617,0.03678311672826994,0.0,48366.5,38.0,1215983845987.5
B3,38564,562,0.014573177056321959,0.0,21119.5,19.0,
C1,167879,1487,0.008857570035561327,0.0,18350.0,25.0,
C2,19776,162,0.008191747572815534,0.0,12300.0,23.0,
A6,12824,67,0.005224578914535247,0.0,39694.0,39.0,1005325877901.0
A2,54816,118,0.002152656158785756,0.0,38676.0,17.0,987908539018.0
B2,43443,86,0.0019796054600280826,0.0,29312.0,24.0,
A4,35722,66,0.0018476009182016684,0.0,28850.5,28.0,730680496392.0
A5,27863,31,0.001112586584359186,0.0,28181.0,20.0,721944909150.0
B1,89067,94,0.0010553852717617076,0.0,32533.0,17.0,
A1,199454,169,0.0008473131649402869,0.0,40632.0,15.0,1035275010693.0
